elapsed_s,gpu_uuid,clock_mhz,memory_clock_mhz,temperature_c,power_w,utilization_pct
305.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
310.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
315.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
320.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.97,100
325.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.03,100
330.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.88,100
335.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
340.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
345.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.96,100
350.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.96,100
355.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
360.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.85,100
365.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.00,100
370.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.96,100
375.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.97,100
380.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.91,100
385.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
390.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.88,100
395.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
400.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.64,100
405.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
410.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.87,100
415.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
420.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
425.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
430.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
435.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
440.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.92,100
445.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.11,100
450.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
455.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
460.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
465.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
470.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
475.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
480.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
485.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.90,100
490.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
495.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
500.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
505.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
510.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.03,100
515.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.86,100
520.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
525.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
530.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
535.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.03,100
540.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
545.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
550.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
555.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
560.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.91,100
565.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.08,100
570.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.13,100
575.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
580.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.00,100
585.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
590.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
595.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
600.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.06,100
605.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
610.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
615.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
620.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.00,100
625.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.03,100
630.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
635.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
640.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.06,100
645.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
650.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.92,100
655.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
660.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
665.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
670.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
675.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
680.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.92,100
685.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.03,100
690.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.01,100
695.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
700.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
705.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
710.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
715.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.08,100
720.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.91,100
725.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.02,100
730.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.10,100
735.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.04,100
740.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
745.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.98,100
750.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.00,100
755.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.94,100
760.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.06,100
765.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.99,100
770.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.95,100
775.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.60,100
780.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,575.05,100
785.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2610,13801,73,573.41,100
790.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2602,13801,73,572.65,99
795.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2595,13801,73,573.08,99
800.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2550,13801,73,574.24,100
805.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2550,13801,73,575.06,100
810.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
815.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.91,100
820.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,576.05,100
825.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.90,100
830.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2520,13801,73,574.93,100
835.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2542,13801,73,574.59,100
840.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.88,100
845.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,575.33,100
850.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.10,100
855.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.03,100
860.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.03,100
865.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
870.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
875.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.96,100
880.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.91,100
885.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
890.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.97,100
895.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.93,100
900.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.50,100
905.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,575.16,100
910.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,574.88,100
915.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2572,13801,73,573.53,100
920.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2535,13801,73,575.32,100
925.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.03,100
930.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
935.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.08,100
940.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.99,100
945.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
950.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
955.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.96,100
960.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.96,100
965.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
970.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.01,100
975.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.99,100
980.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.96,100
985.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.95,100
990.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
995.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
1000.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.01,100
1005.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.09,100
1010.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.87,100
1015.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.94,100
1020.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.93,100
1025.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
1030.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
1035.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2565,13801,73,574.97,100
1040.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.88,100
1045.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.05,100
1050.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.99,100
1055.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.02,100
1060.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.97,100
1065.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.03,100
1070.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.99,100
1075.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1080.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.98,100
1085.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.00,100
1090.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,575.08,100
1095.0,GPU-a3a60fad-ef40-08fa-3eb7-9c22d773bd54,2527,13801,73,574.93,100
